complains,subscription_length,charge_amount,seconds_of_use,frequency_of_use,distinct_called_numbers,age_group,tariff_plan,status,customer_value,cluster
0,36.0,0,650,47,16.0,3,1,2,95.88,0
0,35.0,0,3528,82,30.0,3,1,1,252.4,0
0,46.0,0,1275,30,16.0,3,1,2,192.2,0
0,40.0,0,825,19,7.0,3,1,2,77.76,0
1,33.0,0,1200,50,17.0,3,1,2,122.0,0
0,34.0,9,10730,97,55.0,4,1,1,308.175,3
0,31.0,0,6725,94,20.0,4,1,1,192.975,0
0,37.0,0,2245,33,14.0,3,1,1,1103.12,1
0,43.0,2,3095,33,9.0,4,1,1,1305.7,1
0,29.0,0,2840,16,13.0,3,1,1,114.24,0
0,19.0,0,2840,53,17.0,3,1,1,115.72,0
0,36.0,0,2375,55,20.0,3,1,2,281.2,0
0,38.0,5,14127,198,47.0,3,1,1,939.0,3
0,41.0,0,4065,71,16.0,3,1,1,189.44,0
0,33.0,0,1550,39,21.0,3,1,2,223.56,0
0,38.0,0,13173,159,29.0,3,1,1,533.28,2
1,28.0,0,0,0,0.0,4,1,1,0.0,0
0,37.0,0,1650,28,18.0,3,1,1,1107.12,1
0,32.0,0,2100,29,12.0,3,1,1,1165.16,1
0,16.0,1,9048,177,44.0,5,1,1,295.875,2
0,15.5,0,3895,33,5.0,3,1,1,953.12,0
0,39.0,0,14127,178,32.0,2,1,1,1383.21,2
0,20.0,1,1400,22,2.0,2,1,1,126.99,0
0,36.0,4,7270,122,35.0,3,2,1,1407.68,3
0,24.0,0,1035,32,15.0,2,1,1,246.015,0
0,15.5,0,4025,31,6.0,3,1,1,974.24,0
0,17.0,3,4955,56,18.0,3,1,1,1148.44,1
0,40.0,0,420,12,6.0,3,1,2,173.28,0
0,30.0,0,2760,20,10.0,3,1,1,111.2,0
0,15.5,0,4275,35,11.0,3,1,1,1040.4,0
1,27.0,1,1070,33,11.0,2,2,1,909.135,1
0,39.0,2,7023,81,39.0,2,1,1,837.18,1
0,40.0,2,4083,91,32.0,3,1,1,222.96,1
0,31.0,0,490,6,5.0,2,1,2,22.32,0
0,41.0,1,1668,31,7.0,4,1,1,62.475,0
0,34.0,1,3943,86,26.0,3,1,1,189.16,1
0,37.0,0,2048,54,19.0,3,1,2,216.08,0
0,34.0,0,1790,42,17.0,3,1,2,209.28,0
0,37.0,0,14127,181,27.0,2,1,1,1330.92,2
0,38.0,0,305,6,2.0,3,1,2,40.44,0
0,35.0,0,305,6,2.0,2,1,2,45.495,0
0,43.0,1,5918,101,13.0,3,1,1,300.76,1
0,34.0,1,13818,165,40.0,3,1,1,587.32,2
0,38.0,0,4560,72,20.0,3,1,1,241.28,0
0,37.0,0,2765,44,16.0,3,1,1,1256.36,1
1,33.0,1,5638,90,19.0,2,1,1,325.26,1
0,31.0,3,7270,116,34.0,2,2,1,1547.37,1
0,36.0,0,405,8,6.0,2,1,2,45.585,0
0,31.0,0,615,4,5.0,2,1,2,27.855,0
0,41.0,2,14127,186,46.0,3,1,1,658.96,2
0,15.5,0,4085,28,7.0,2,1,1,1085.085,0
0,37.0,0,1543,27,9.0,3,1,1,78.8,0
0,32.0,0,4130,75,19.0,3,1,1,168.2,0
0,33.0,0,13288,155,37.0,3,1,1,537.72,2
0,44.0,3,3480,35,14.0,4,1,1,1337.875,1
0,28.0,2,3645,73,29.0,4,1,1,210.45,1
1,39.0,0,2688,56,37.0,4,1,2,251.1,0
0,37.0,0,2655,55,26.0,2,1,1,927.45,1
0,42.0,2,7203,89,44.0,2,1,1,895.14,1
