,complains,subscription_length,charge_amount,seconds_of_use,frequency_of_use,distinct_called_numbers,age_group,tariff_plan,status,customer_value
1872,0,36.0,0,650,47,16.0,3,1,2,95.88
1635,0,35.0,0,3528,82,30.0,3,1,1,252.4
2367,0,46.0,0,1275,30,16.0,3,1,2,192.2
2817,0,40.0,0,825,19,7.0,3,1,2,77.76
2222,1,33.0,0,1200,50,17.0,3,1,2,122.0
1523,0,34.0,9,10730,97,55.0,4,1,1,308.175
130,0,31.0,0,6725,94,20.0,4,1,1,192.975
606,0,37.0,0,2245,33,14.0,3,1,1,1103.12
813,0,43.0,2,3095,33,9.0,4,1,1,1305.7
775,0,29.0,0,2840,16,13.0,3,1,1,114.24
1293,0,19.0,0,2840,53,17.0,3,1,1,115.72
886,0,36.0,0,2375,55,20.0,3,1,2,281.2
462,0,38.0,5,14127,198,47.0,3,1,1,939.0
1850,0,41.0,0,4065,71,16.0,3,1,1,189.44
1736,0,33.0,0,1550,39,21.0,3,1,2,223.56
508,0,38.0,0,13173,159,29.0,3,1,1,533.28
1382,1,28.0,0,0,0,0.0,4,1,1,0.0
906,0,37.0,0,1650,28,18.0,3,1,1,1107.12
306,0,32.0,0,2100,29,12.0,3,1,1,1165.16
596,0,16.0,1,9048,177,44.0,5,1,1,295.875
1798,0,15.5,0,3895,33,5.0,3,1,1,953.12
1214,0,39.0,0,14127,178,32.0,2,1,1,1383.21
2644,0,20.0,1,1400,22,2.0,2,1,1,126.99
2134,0,36.0,4,7270,122,35.0,3,2,1,1407.68
1642,0,24.0,0,1035,32,15.0,2,1,1,246.015
1198,0,15.5,0,4025,31,6.0,3,1,1,974.24
2398,0,17.0,3,4955,56,18.0,3,1,1,1148.44
2668,0,40.0,0,420,12,6.0,3,1,2,173.28
225,0,30.0,0,2760,20,10.0,3,1,1,111.2
1748,0,15.5,0,4275,35,11.0,3,1,1,1040.4
1138,1,27.0,1,1070,33,11.0,2,2,1,909.135
2121,0,39.0,2,7023,81,39.0,2,1,1,837.18
2185,0,40.0,2,4083,91,32.0,3,1,1,222.96
1266,0,31.0,0,490,6,5.0,2,1,2,22.32
829,0,41.0,1,1668,31,7.0,4,1,1,62.475
2335,0,34.0,1,3943,86,26.0,3,1,1,189.16
1611,0,37.0,0,2048,54,19.0,3,1,2,216.08
2536,0,34.0,0,1790,42,17.0,3,1,2,209.28
714,0,37.0,0,14127,181,27.0,2,1,1,1330.92
2501,0,38.0,0,305,6,2.0,3,1,2,40.44
2401,0,35.0,0,305,6,2.0,2,1,2,45.495
810,0,43.0,1,5918,101,13.0,3,1,1,300.76
2408,0,34.0,1,13818,165,40.0,3,1,1,587.32
650,0,38.0,0,4560,72,20.0,3,1,1,241.28
1906,0,37.0,0,2765,44,16.0,3,1,1,1256.36
424,1,33.0,1,5638,90,19.0,2,1,1,325.26
2884,0,31.0,3,7270,116,34.0,2,2,1,1547.37
1067,0,36.0,0,405,8,6.0,2,1,2,45.585
316,0,31.0,0,615,4,5.0,2,1,2,27.855
2958,0,41.0,2,14127,186,46.0,3,1,1,658.96
1848,0,15.5,0,4085,28,7.0,2,1,1,1085.085
1429,0,37.0,0,1543,27,9.0,3,1,1,78.8
1259,0,32.0,0,4130,75,19.0,3,1,1,168.2
1458,0,33.0,0,13288,155,37.0,3,1,1,537.72
2263,0,44.0,3,3480,35,14.0,4,1,1,1337.875
2693,0,28.0,2,3645,73,29.0,4,1,1,210.45
2677,1,39.0,0,2688,56,37.0,4,1,2,251.1
1437,0,37.0,0,2655,55,26.0,2,1,1,927.45
2471,0,42.0,2,7203,89,44.0,2,1,1,895.14
120,0,35.0,0,11405,151,45.0,3,1,1,486.24
439,0,23.0,0,1388,31,63.0,4,1,1,82.975
2776,1,37.0,0,3485,48,21.0,3,1,2,241.32
2286,1,41.0,0,2050,52,26.0,4,1,2,190.05
1209,0,40.0,1,4290,79,27.0,3,1,1,194.76
751,0,34.0,0,318,4,3.0,2,1,2,14.49
2436,0,31.0,0,1710,40,16.0,3,1,2,190.0
2389,0,34.0,2,2133,55,68.5,5,1,1,110.82
300,0,32.0,0,4110,61,11.0,2,1,1,187.695
224,1,32.0,0,5738,96,20.0,2,1,1,334.53
141,1,24.0,0,765,7,1.0,4,1,2,59.3
1346,0,19.0,0,8888,175,44.0,4,1,1,429.075
2418,0,33.0,0,305,6,2.0,2,1,2,45.495
2664,0,40.0,2,14127,194,36.0,3,1,1,1399.96
